iter	RMSE
0	59.38109331
1	57.63322379
2	55.93533409
3	54.29398278
4	52.71328078
5	51.17432756
6	49.68446373
7	48.2472446
8	46.86793747
9	45.52927024
10	44.24572214
11	43.00239987
12	41.80457845
13	40.64438702
14	39.52372867
15	38.4633931
16	37.41723758
17	36.41244049
18	35.45096649
19	34.51358897
20	33.61982475
21	32.75684872
22	31.91720791
23	31.10737484
24	30.33497843
25	29.59827811
26	28.87865469
27	28.20016352
28	27.53053409
29	26.89434689
30	26.28771403
31	25.69930717
32	25.13916257
33	24.59430496
34	24.07219793
35	23.5731559
36	23.10283928
37	22.64369726
38	22.20689991
39	21.79367553
40	21.39861899
41	21.01043446
42	20.63919104
43	20.29036066
44	19.95296634
45	19.62682724
46	19.31817187
47	19.01923384
48	18.73404791
49	18.46435373
50	18.21403723
51	17.9658797
52	17.73419418
53	17.51520322
54	17.3036993
55	17.10070999
56	16.90603909
57	16.72156667
58	16.54705485
59	16.38464399
60	16.2304944
61	16.07705517
62	15.93334177
63	15.79826767
64	15.66252551
65	15.53711063
66	15.41597689
67	15.30473308
68	15.2008787
69	15.10209655
70	15.00295309
71	14.90755555
72	14.81678984
73	14.73663124
74	14.65911934
75	14.58800847
76	14.51815466
77	14.44954792
78	14.38745856
79	14.32737034
80	14.26958413
81	14.21464153
82	14.16147843
83	14.11288862
84	14.06710291
85	14.02209204
86	13.97858023
87	13.93785056
88	13.89856631
89	13.85977929
90	13.82129378
91	13.78662374
92	13.75023633
93	13.72108304
94	13.69165463
95	13.66519783
96	13.63898328
97	13.6137292
98	13.59017891
99	13.5620738
100	13.54080467
101	13.51992159
102	13.4962712
103	13.47396609
104	13.45405374
105	13.436955
106	13.41612709
107	13.39710272
108	13.37851409
109	13.36331065
110	13.34329692
111	13.33187157
112	13.31833176
113	13.30453402
114	13.29142988
115	13.27865401
116	13.26856127
117	13.25663469
118	13.24451493
119	13.23241415
120	13.21940659
121	13.20594253
122	13.19577028
123	13.18827391
124	13.17635248
125	13.16301931
126	13.15300333
127	13.13999727
128	13.13061709
129	13.12292315
130	13.11483506
131	13.10756869
132	13.10039062
133	13.0920542
134	13.0840556
135	13.07711953
136	13.07115142
137	13.06281131
138	13.05658628
139	13.05137669
140	13.04578942
141	13.03996901
142	13.03278407
143	13.02593545
144	13.01910929
145	13.01239234
146	13.00710029
147	12.99993064
148	12.99490727
149	12.98752411
150	12.98058023
151	12.9750064
152	12.96866064
153	12.96452831
154	12.95872357
155	12.95319361
156	12.94956097
157	12.94264194
158	12.93772089
159	12.93333126
160	12.92706985
161	12.92329582
162	12.91671996
163	12.91429118
164	12.90891628
165	12.90570441
166	12.89839711
167	12.89403159
168	12.89024724
169	12.8845416
170	12.88082386
171	12.87612028
172	12.87259046
173	12.86901434
174	12.86444048
175	12.86233003
176	12.85956272
177	12.85504035
178	12.85037575
179	12.8469977
180	12.8434346
181	12.84052893
182	12.8367969
183	12.83100198
184	12.82823245
185	12.82461385
186	12.81932421
187	12.8166289
188	12.81355046
189	12.80908156
190	12.80514216
191	12.80140143
192	12.79767574
193	12.79226748
194	12.78894321
195	12.78561379
196	12.78216786
197	12.77754722
198	12.77452853
199	12.77115341
200	12.76880315
201	12.76687697
202	12.76380994
203	12.75929522
204	12.75651476
205	12.75430232
206	12.74936607
207	12.74498369
208	12.74212486
209	12.73909587
210	12.7375912
211	12.734004
212	12.72872204
213	12.72425271
214	12.71985013
215	12.71349499
216	12.71127694
217	12.7085216
218	12.70399084
219	12.69884851
220	12.69443517
221	12.69208718
222	12.68938662
223	12.68811629
224	12.68690653
225	12.68509999
226	12.68187747
227	12.6802902
228	12.6757374
229	12.67455001
230	12.6707983
231	12.66853697
232	12.66577745
233	12.66368042
234	12.66234752
235	12.6605432
236	12.65851427
237	12.65360499
238	12.65089999
239	12.64763346
240	12.64592035
241	12.64510901
242	12.64084061
243	12.63941812
244	12.63803285
245	12.63664479
246	12.63463695
247	12.63234466
248	12.6276906
249	12.62467212
250	12.62254581
251	12.62076666
252	12.61902362
253	12.61702097
254	12.61253816
255	12.60875319
256	12.60569974
257	12.60468149
258	12.60281514
259	12.60034884
260	12.59717318
261	12.5950388
262	12.59363668
263	12.59148695
264	12.58835308
265	12.58693365
266	12.58493358
267	12.58340876
268	12.57843698
269	12.5775165
270	12.57573352
271	12.5740046
272	12.57211101
273	12.56922145
274	12.56638563
275	12.56387221
276	12.56194269
277	12.5597213
278	12.55869967
279	12.55637588
280	12.55445356
281	12.5524921
282	12.55099449
283	12.54961635
284	12.54850408
285	12.54739586
286	12.54445769
287	12.541028
288	12.53781759
289	12.53574941
290	12.53411777
291	12.53011451
292	12.52812424
293	12.52701217
294	12.52583036
295	12.52272351
296	12.52029408
297	12.51773369
298	12.5160878
299	12.51431449
300	12.51277649
301	12.51059809
302	12.50913371
303	12.50796387
304	12.50595645
305	12.50332038
306	12.49904082
307	12.49559296
308	12.49498655
309	12.49355911
310	12.49203295
311	12.4902659
312	12.48633708
313	12.48450802
314	12.4831195
315	12.48276615
316	12.48013882
317	12.47855767
318	12.47655879
319	12.47467444
320	12.47364561
321	12.4702278
322	12.46788132
323	12.46555305
324	12.46488288
325	12.46445084
326	12.46219477
327	12.45867419
328	12.45671852
329	12.45596275
330	12.4549734
